config_name,avg_gold_similarity,avg_fact_recall,avg_context_precision,avg_context_recall,avg_distractor_rate,avg_retrieval_latency_ms,avg_generation_latency_ms,avg_total_latency_ms,avg_context_tokens,avg_qasper_f1,avg_qasper_em,avg_faithfulness
fixed_512__vector__k5,0.807152156829834,0.7233333333333333,0.36,0.9166666666666667,0.04,13.516820035874844,2932.8793799877167,2946.3962000235915,2398.88,nan,nan,nan
fixed_256__bm25__k10,0.8068137753009796,0.77,0.228,0.87,0.02,0.63389603048563,2855.2593120001256,2855.8932080306113,2439.84,nan,nan,nan
fixed_256__hybrid_rerank__k3,0.8055093193054199,0.622,0.4533333333333333,0.8066666666666668,0.06666666666666667,404.30274395272136,2029.4669679552317,2433.769711907953,729.04,nan,nan,nan
semantic__hybrid_rerank__k10,0.8053374814987183,0.5906666666666667,0.3,0.9,0.028000000000000004,3333.0220680497587,2296.05464797467,5629.076716024429,1369.12,nan,nan,nan
fixed_256__hybrid_rerank__k5,0.803543689250946,0.682,0.36800000000000005,0.92,0.04,798.1185679882765,2378.6295360140502,3176.7481040023267,1214.8,nan,nan,nan
paragraph__hybrid_rerank__k10,0.7999916875362396,0.6293333333333334,0.32,0.99,0.044000000000000004,1241.360331978649,2278.8615319877863,3520.221863966435,860.44,nan,nan,nan
fixed_512__hybrid__k3,0.7991113150119782,0.6833333333333332,0.4533333333333333,0.8233333333333333,0.05333333333333333,12.989955991506577,2411.175939999521,2424.1658959910274,1472.32,nan,nan,nan
raptor_100__raptor_collapsed__k10,0.7988001930713654,0.7266666666666667,0.3535039682539683,0.94,0.0315,9.879844095557928,2484.4542519561946,2494.3340960517526,1428.4,nan,nan,nan
fixed_512__vector__k3,0.7964970350265503,0.61,0.44,0.7633333333333333,0.06666666666666667,13.979951962828636,2841.8675200641155,2855.847472026944,1464.2,nan,nan,nan
fixed_512__bm25__k5,0.7947129023075103,0.718,0.272,0.7366666666666667,0.032,0.5367480218410492,2710.294512026012,2710.831260047853,2351.56,nan,nan,nan
paragraph__hybrid_rerank__k5,0.7926304960250854,0.5666666666666667,0.384,0.88,0.048,354.9228319711983,2239.0266119502485,2593.949443921447,410.48,nan,nan,nan
paragraph__hybrid__k10,0.7894875347614289,0.6806666666666666,0.324,0.96,0.04,12.75094797834754,2079.6597200259566,2092.410668004304,843.08,nan,nan,nan
semantic__hybrid_rerank__k5,0.7894787096977234,0.5026666666666667,0.376,0.84,0.048,1412.7677880041301,1936.775500010699,3349.543288014829,620.56,nan,nan,nan
fixed_256__hybrid__k3,0.7861225366592407,0.6633333333333333,0.4666666666666666,0.7466666666666667,0.04,12.68641198053956,2242.1491680294275,2254.835580009967,718.48,nan,nan,nan
paragraph__hybrid_rerank__k3,0.785744948387146,0.5146666666666667,0.52,0.7866666666666667,0.06666666666666667,144.07579202204943,1927.9671240597963,2072.0429160818458,245.04,nan,nan,nan
paragraph__vector__k10,0.7854196190834045,0.6133333333333334,0.312,0.99,0.04,12.266931980848312,2153.3615559898317,2165.62848797068,868.16,nan,nan,nan
semantic__hybrid__k10,0.783088207244873,0.6993333333333334,0.332,0.98,0.032,13.725699950009584,2475.297727994621,2489.0234279446304,1318.52,nan,nan,nan
fixed_256__bm25__k3,0.7816884768009186,0.5533333333333333,0.3733333333333333,0.6866666666666668,0.04,0.6468679755926132,2178.8212640210986,2179.468131996691,741.8,nan,nan,nan
semantic__vector__k10,0.7813049578666686,0.6133333333333334,0.276,0.93,0.036000000000000004,13.416571989655495,2652.1062560006976,2665.522827990353,1232.12,nan,nan,nan
semantic__bm25__k10,0.7757932436466217,0.5893333333333333,0.22400000000000003,0.87,0.024000000000000004,0.9772640839219093,2309.279219955206,2310.256484039128,1413.08,nan,nan,nan
semantic__hybrid__k5,0.7757032263278961,0.5746666666666667,0.392,0.79,0.04,12.18110404908657,2197.288747932762,2209.4698519818485,683.76,nan,nan,nan
raptor_100__raptor_tree__k10,0.7755825662612915,0.6086666666666667,0.2421095238095238,0.96,0.031809523809523815,11.275851931422949,2853.430603966117,2864.70645589754,2483.6,nan,nan,nan
fixed_256__vector__k5,0.7755638694763184,0.602,0.36,0.7566666666666667,0.048,11.190847977995872,2598.2291640155017,2609.4200119934976,1194.72,nan,nan,nan
fixed_256__bm25__k5,0.7695080828666687,0.5946666666666667,0.336,0.7766666666666667,0.032,0.61981201171875,2406.2719360366464,2406.891748048365,1225.76,nan,nan,nan
raptor_100__raptor_collapsed__k5,0.7686971032619476,0.5193333333333333,0.4013333333333333,0.83,0.044500000000000005,10.437936000525951,1989.9452920258045,2000.3832280263305,748.48,nan,nan,nan
semantic__vector__k5,0.7684818160533905,0.4653333333333333,0.376,0.8566666666666667,0.048,13.802252039313316,2001.1764360778034,2014.9786881171167,571.2,nan,nan,nan
paragraph__hybrid__k5,0.7650370669364929,0.5613333333333334,0.41600000000000004,0.85,0.055999999999999994,13.884803932160139,1931.8393520079553,1945.7241559401155,398.48,nan,nan,nan
paragraph__bm25__k10,0.7650099587440491,0.5086666666666667,0.24,0.84,0.024,1.01043201982975,1987.7089920267463,1988.719424046576,804.24,nan,nan,nan
paragraph__vector__k5,0.7598609721660614,0.46399999999999997,0.392,0.92,0.064,12.863935958594084,2058.1078039482236,2070.9717399068177,405.36,nan,nan,nan
fixed_256__vector__k3,0.7546131706237793,0.4666666666666666,0.42666666666666664,0.6566666666666667,0.04,12.953348010778427,2271.653811968863,2284.6071599796414,704.64,nan,nan,nan
raptor_100__raptor_tree__k5,0.7530707275867462,0.43666666666666665,0.3693333333333333,0.72,0.0525,12.299804016947746,2242.7819199860096,2255.0817240029573,748.48,nan,nan,nan
paragraph__hybrid__k3,0.7526373088359832,0.4733333333333334,0.4666666666666666,0.7366666666666667,0.05333333333333333,13.199807982891798,1824.5852319709957,1837.7850399538875,230.56,nan,nan,nan
semantic__hybrid_rerank__k3,0.7507350838184357,0.44666666666666666,0.44,0.7666666666666667,0.05333333333333333,594.1814559884369,1977.5106720626354,2571.6921280510724,391.64,nan,nan,nan
semantic__hybrid__k3,0.7502020847797394,0.4393333333333333,0.4933333333333333,0.7166666666666667,0.05333333333333333,12.2776760160923,1787.4394600465894,1799.7171360626817,375.88,nan,nan,nan
semantic__bm25__k5,0.7480810236930847,0.39266666666666666,0.31200000000000006,0.7,0.024000000000000004,0.9683920070528984,2119.3452520109713,2120.313644018024,662.52,nan,nan,nan
paragraph__bm25__k5,0.7452166950702668,0.484,0.31200000000000006,0.6866666666666668,0.032,1.1328120343387127,2534.17001998052,2535.3028320148587,388.52,nan,nan,nan
fixed_512__bm25__k3,0.7408088040351868,0.44266666666666665,0.32,0.5366666666666666,0.04,0.4922280088067055,2128.8086479902267,2129.3008759990335,1413.56,nan,nan,nan
raptor_100__raptor_collapsed__k3,0.7373838651180268,0.426,0.4472222222222222,0.75,0.045,9.142796024680138,1891.8095239810646,1900.9523200057447,452.0,nan,nan,nan
raptor_100__raptor_tree__k3,0.7370215964317322,0.37799999999999995,0.4072222222222222,0.71,0.05833333333333333,13.717160020023584,1738.6999798938632,1752.4171399138868,461.44,nan,nan,nan
semantic__vector__k3,0.732188206911087,0.38,0.4666666666666666,0.7366666666666667,0.05333333333333333,16.79962806403637,1895.7397120073438,1912.5393400713801,369.8,nan,nan,nan
paragraph__vector__k3,0.7307679557800293,0.44266666666666665,0.4533333333333333,0.7666666666666667,0.06666666666666667,16.035719960927963,2422.606379967183,2438.642099928111,235.32,nan,nan,nan
semantic__bm25__k3,0.7189651811122895,0.36133333333333334,0.36,0.5566666666666666,0.04,0.9772679768502712,1781.5930720046163,1782.5703399814665,407.84,nan,nan,nan
paragraph__bm25__k3,0.7182204937934875,0.41733333333333333,0.36,0.6366666666666666,0.04,0.9898960590362549,1539.4859800301492,1540.4758760891855,223.12,nan,nan,nan
raptor_100__raptor_qcond__k10,0.7061580204963684,0.348,0.16771428571428573,0.6066666666666667,0.024761904761904763,12.59610403329134,2120.1904040016234,2132.7865080349147,778.92,nan,nan,nan
raptor_100__raptor_qcond__k3,0.6926902318000794,0.23066666666666666,0.2683333333333333,0.48666666666666664,0.04,11.542367991060019,1889.1200919635594,1900.6624599546194,353.6,nan,nan,nan
raptor_100__raptor_qcond__k5,0.6830983448028565,0.30266666666666664,0.2069047619047619,0.6066666666666667,0.032,11.466436050832272,1879.33558402583,1890.8020200766623,576.68,nan,nan,nan
